,sid,cond,counter,2drule,2drule_aic,stimtype,ruletype,rulevariant
0,48,1.0,0.0,0.625,0.5,rectangle,rb,width
1,49,1.0,1.0,0.25,0.375,rectangle,rb,width
2,50,0.0,2.0,0.0,0.0,antenna,rb,radius
3,51,0.0,3.0,0.0,0.0,antenna,rb,radius
4,52,1.0,3.0,0.125,0.125,rectangle,rb,height
5,53,2.0,1.0,0.75,0.75,antenna,ii,neg
6,54,2.0,3.0,0.375,0.375,antenna,ii,neg
7,55,0.0,0.0,0.0,0.25,antenna,rb,angle
8,56,2.0,1.0,0.5,0.25,antenna,ii,neg
9,57,3.0,3.0,0.625,0.375,rectangle,ii,size
10,58,2.0,2.0,0.25,0.375,antenna,ii,pos
11,59,3.0,2.0,1.0,1.0,rectangle,ii,shape
12,60,1.0,0.0,1.0,1.0,rectangle,rb,height
13,61,0.0,2.0,0.0,0.0,antenna,rb,angle
14,63,2.0,1.0,0.375,0.375,antenna,ii,neg
15,64,1.0,2.0,0.75,0.75,rectangle,rb,height
16,65,1.0,2.0,0.625,0.75,rectangle,rb,height
17,66,0.0,3.0,0.0,0.0,antenna,rb,angle
18,67,3.0,2.0,1.0,1.0,rectangle,ii,shape
19,68,2.0,3.0,0.5,0.375,antenna,ii,neg
20,69,3.0,0.0,1.0,1.0,rectangle,ii,shape
21,70,0.0,3.0,0.0,0.0,antenna,rb,angle
22,71,3.0,0.0,1.0,1.0,rectangle,ii,shape
23,72,3.0,2.0,1.0,1.0,rectangle,ii,shape
24,73,3.0,0.0,1.0,1.0,rectangle,ii,shape
25,74,1.0,0.0,0.625,0.25,rectangle,rb,height
26,75,1.0,1.0,0.875,1.0,rectangle,rb,height
27,76,0.0,1.0,0.0,0.0,antenna,rb,angle
28,77,1.0,2.0,0.5,0.25,rectangle,rb,height
29,78,2.0,1.0,0.875,0.375,antenna,ii,neg
30,79,1.0,1.0,0.75,0.375,rectangle,rb,width
31,80,2.0,0.0,0.5,0.125,antenna,ii,pos
32,81,3.0,1.0,0.875,1.0,rectangle,ii,size
33,82,2.0,1.0,0.375,0.0,antenna,ii,neg
34,83,2.0,1.0,0.5,0.625,antenna,ii,neg
35,84,2.0,2.0,0.5,0.25,antenna,ii,pos
36,85,0.0,0.0,0.125,0.0,antenna,rb,radius
37,86,3.0,3.0,1.0,0.875,rectangle,ii,size
38,87,2.0,3.0,0.875,0.875,antenna,ii,neg
39,88,3.0,2.0,1.0,1.0,rectangle,ii,shape
40,89,1.0,0.0,0.25,0.25,rectangle,rb,width
41,90,3.0,2.0,1.0,1.0,rectangle,ii,shape
42,91,3.0,1.0,0.875,0.75,rectangle,ii,size
43,92,1.0,1.0,0.75,0.375,rectangle,rb,width
44,93,2.0,2.0,0.5,0.125,antenna,ii,pos
45,94,2.0,0.0,0.5,0.5,antenna,ii,pos
46,95,2.0,3.0,0.5,0.0,antenna,ii,neg
47,96,1.0,0.0,0.125,0.375,rectangle,rb,height
48,97,3.0,1.0,0.875,0.875,rectangle,ii,size
49,98,3.0,2.0,0.875,1.0,rectangle,ii,shape
50,99,1.0,3.0,0.75,0.625,rectangle,rb,height
51,100,3.0,2.0,0.875,1.0,rectangle,ii,shape
52,101,3.0,0.0,1.0,1.0,rectangle,ii,shape
53,102,0.0,1.0,0.0,0.0,antenna,rb,angle
54,103,1.0,1.0,0.25,0.375,rectangle,rb,height
55,104,2.0,1.0,0.75,0.875,antenna,ii,neg
56,105,3.0,2.0,1.0,1.0,rectangle,ii,shape
57,106,3.0,0.0,1.0,1.0,rectangle,ii,shape
58,107,1.0,0.0,0.5,0.625,rectangle,rb,width
59,108,3.0,1.0,0.875,0.75,rectangle,ii,size
60,109,2.0,3.0,0.5,0.375,antenna,ii,neg
61,110,1.0,1.0,0.5,0.5,rectangle,rb,height
62,111,1.0,1.0,0.0,0.25,rectangle,rb,height
63,112,2.0,0.0,1.0,1.0,antenna,ii,pos
64,113,1.0,0.0,0.125,0.125,rectangle,rb,width
65,114,0.0,0.0,0.0,0.125,antenna,rb,radius
66,115,0.0,3.0,0.125,0.375,antenna,rb,radius
67,116,0.0,3.0,0.0,0.0,antenna,rb,radius
68,117,2.0,2.0,0.375,0.0,antenna,ii,pos
69,118,3.0,0.0,1.0,1.0,rectangle,ii,shape
70,119,1.0,0.0,0.375,0.375,rectangle,rb,height
71,120,0.0,0.0,0.0,0.0,antenna,rb,radius
72,121,0.0,2.0,0.0,0.0,antenna,rb,radius
73,122,1.0,0.0,0.5,0.75,rectangle,rb,height
74,123,0.0,0.0,0.875,0.0,antenna,rb,radius
75,124,3.0,0.0,1.0,1.0,rectangle,ii,shape
76,125,1.0,2.0,0.5,0.5,rectangle,rb,height
77,126,1.0,1.0,1.0,1.0,rectangle,rb,height
78,127,3.0,3.0,1.0,1.0,rectangle,ii,size
79,128,2.0,2.0,0.375,0.375,antenna,ii,pos
80,129,1.0,0.0,0.625,0.875,rectangle,rb,width
81,130,1.0,2.0,0.375,0.375,rectangle,rb,height
82,131,3.0,2.0,1.0,1.0,rectangle,ii,shape
83,132,2.0,1.0,0.5,0.625,antenna,ii,neg
84,133,3.0,0.0,1.0,1.0,rectangle,ii,shape
85,134,3.0,1.0,0.75,0.5,rectangle,ii,size
86,135,0.0,3.0,0.0,0.0,antenna,rb,radius
87,136,0.0,1.0,0.0,0.125,antenna,rb,radius
88,137,2.0,2.0,0.25,0.5,antenna,ii,pos
89,138,1.0,1.0,0.375,0.625,rectangle,rb,height
90,139,3.0,3.0,0.875,1.0,rectangle,ii,size
91,140,2.0,0.0,0.625,0.75,antenna,ii,pos
92,141,3.0,0.0,1.0,1.0,rectangle,ii,shape
93,142,0.0,0.0,0.0,0.125,antenna,rb,angle
94,143,3.0,1.0,1.0,1.0,rectangle,ii,size
95,144,3.0,3.0,1.0,1.0,rectangle,ii,size
96,145,2.0,1.0,0.75,0.875,antenna,ii,neg
97,146,3.0,1.0,1.0,1.0,rectangle,ii,size
98,147,2.0,3.0,0.375,0.375,antenna,ii,neg
99,148,2.0,3.0,0.5,0.375,antenna,ii,neg
100,149,2.0,2.0,0.375,0.375,antenna,ii,pos
101,150,0.0,1.0,0.0,0.0,antenna,rb,angle
102,151,2.0,2.0,0.5,0.5,antenna,ii,pos
103,154,2.0,0.0,0.625,0.125,antenna,ii,pos
104,155,1.0,2.0,1.0,1.0,rectangle,rb,height
105,157,0.0,1.0,0.0,0.0,antenna,rb,radius
106,158,0.0,3.0,0.0,0.0,antenna,rb,radius
107,160,0.0,2.0,0.0,0.0,antenna,rb,angle
108,161,0.0,0.0,0.125,0.25,antenna,rb,radius
109,162,0.0,2.0,0.0,0.0,antenna,rb,radius
110,163,0.0,3.0,0.0,0.125,antenna,rb,radius
111,164,0.0,3.0,0.125,0.0,antenna,rb,radius
112,165,0.0,2.0,0.0,0.0,antenna,rb,angle
