,sid,age,gender,difficulty,engagement,externalaids,howtoimprove
0,48,26,male,5,8,,
1,49,24,male,2,5,Nein,Nein
2,50,27,female,5,6,Nein,Nein
3,51,30,male,3,5,Daf&#252;r brauch man doch keine Hilfsmittel.,
4,52,27,male,5,7,Nein,"Es war schwierig die H&#246;he der Formen zu sch&#228;tzen, da auf dem wei&#223;en Bildschirm jeglicher Vergleich fehlte."
5,53,28,male,5,8,Es wurden keine Hilfsmittel verwendet. Mir f&#228;llt kein Grund ein.,
6,54,24,female,7,6,Nein,Nein
7,55,-1,male,3,5,,Die Formen ver&#228;ndern.
8,56,26,female,4,5,Ich habe keinerlei Hilfsmittel benutzt.,Nein.
9,57,26,male,9,8,,
10,58,32,noresponse,4,7,Nein.,
11,59,31,male,4,4,N&#246;...,...
12,60,27,female,7,5,,
13,61,26,female,1,2,Nein,
14,63,26,female,9,7,"Nein, ich habe mir nur immer versch. Durchmesser von Gl&#228;sern vorgestellt, die ich zuhause habe.","Ich finde, dass man den Kreis mit der Maus schlecht variieren kann. Es ist sehr umst&#228;ndlich."
15,64,27,female,8,8,nein,Ich w&#252;rde am Ende gern die L&#246;sung wissen &#214;_&#214;
16,65,25,male,7,6,Nein,Nein
17,66,30,male,0,4,Nein keinerlei Hilfsmittel,"Die Kategorien was A und was B ist k&#246;nnten leicht wechseln, um es anspruchsvoller zu machen"
18,67,24,female,3,4,"Ich habe keine Hilfsmittel verwendet, und meine Daten m&#252;ssen auch nicht aus der Studie ausgeschlossen werden. ","Mir war es nicht immer m&#246;glich eine bestimmte Form die ich lernen wollte, einzustellen. Ich wei&#223; nicht ob das jetzt an mir oder der Maus lag."
19,68,20,female,5,10,Nein,Nein
20,69,24,male,3,6,Nein,Nein
21,70,33,female,1,3,"Nein, keine.",
22,71,24,female,2,7,Nein,"Vielleicht eher einen schwarzen Hintergrund nehmen und die Farbe der Formen auch anpassen.

Das rot auf wei&#223; war mit der Zeit sehr penetrant und nervt&#246;tend."
23,72,28,male,2,9,keine Hilfsmittel benutzt,"Erh&#246;hung des Schwierigkeitsgrad w&#228;re denkbar, z.B. durch Kombination der Formen mit Farben und entsprechendem Kategorisieren."
24,73,31,female,3,8,nein,"Wenn ein Quadrat auf ein A-Rechteck, bzw. B-Rechteck folgt, k&#246;nnte sich je nachdem das Quadrat mit A oder B kategoriesieren lassen. "
25,74,24,female,7,7,nein,nein
26,75,22,female,4,5,Nein,Nein
27,76,26,female,3,5,Nein,-
28,77,22,female,7,6,Ich habe keine jeglichen Hilfsmittel benutzt,"W&#228;hrend der Studie habe ich mir dazu Gedanken gemacht, ob aus der Ursprungsform, diese wandelbar ist. D.h. ob im System gespeichert ist welche Form sie schon ist oder ob der Teilnehmer das durch seine Versuche beeinflusst."
29,78,26,male,9,9,nein,nein
30,79,-1,male,7,6,nein,nein
31,80,23,male,6,5,Nein,Nein
32,81,18,female,6,6,,
33,82,22,male,8,5,,
34,83,25,male,8,5,Es wurden keinerlei Hilfmittel benutzt. Da ich das System nicht richtig erkannt habe musste ich bei ca. 30-40% raten.,
35,84,29,male,10,5,"Keine Hilfsmittel
Hohe M&#252;digkeit","Radius als Anhaltspunkt im ""Lernprozess"""
36,85,22,female,3,2,"Nein ich habe keine Hilfsmittel verwendet, nur meinen Kopf",
37,86,20,male,7,6,"-keine Hilfsmittel
-keinen Grund zum Ausschluss der Daten","Es ist schwierig, die teils sehr &#228;hnlich gro&#223;en Formen in die richtige Kategorie einzuordnen. Auch die &#220;bung vor jedem Durchgang hat hier nicht viel geholfen."
38,87,27,female,3,6,keine Hilfsmittel genutzt,
39,88,27,male,1,2,,
40,89,33,male,6,5,Nein,"Nein, eventuell k&#246;nnte es eine Option geben, den &#220;bungsteil abzuk&#252;rzen."
41,90,22,female,3,5,nein,nein
42,91,19,female,6,8,"Keine Hilfsmittel
Zu geringer Lerneffekt",
43,92,29,male,7,6,Nein keine Hilfsmittel benutzt.,Nein.
44,93,25,male,8,6,Nein,Nein
45,94,22,male,4,5,Nein.,Nein.
46,95,29,female,10,2,,
47,96,25,female,5,6,Nein,"Teilweise war das Anpassen der Rechtecke schwierig, weil die Form sich sprunghaft und nicht fl&#252;ssig ver&#228;nderte"
48,97,27,female,9,10,Nein.,Dass die Formen auch ohne Verr&#252;cken des gr&#252;nen Punktes den Kategorienzugeordnet werden.
49,98,27,female,2,4,nein ,
50,99,23,female,6,7,Nein,Nein
51,100,18,female,4,5,,
52,101,30,male,2,7,nein.,"A=H&#246;he und B=Breite w&#228;re viel einfacher zum merken, so musste man immer umdenken."
