,sid,cond,counter,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late,dimtype,ruletype,ruledir,rulerelation
0,234,0.0,0.0,0.96484375,0.8181875,0.5979375,0.5979375,3.875,3.875,7.75,0.0,relative,1D,negative,1D-F
1,236,0.0,1.0,0.84765625,1.051015625,0.9464375,0.9464375,0.5,0.5,1.0,0.0,relative,1D,negative,1D-C
2,238,1.0,0.0,0.96875,0.8738125,0.71245,0.71245,5.5,5.5,11.0,0.0,absolute,1D,positive,1D-F
3,242,0.0,0.0,0.80859375,1.1422109375,1.07275,1.07275,3.625,3.625,6.75,0.5,relative,1D,positive,1D-C
4,243,1.0,1.0,0.98046875,0.935875,0.86025,0.86025,3.5,3.5,7.0,0.0,absolute,1D,negative,1D-C
5,244,1.0,0.0,0.984375,0.6546875,0.53325,0.53325,10.75,10.75,11.0,10.5,absolute,1D,negative,1D-C
6,245,3.0,1.0,0.85546875,0.93034336544,0.677494648126,0.677494648126,15.375,15.375,16.0,14.75,absolute,2D,positive,2D-N
7,246,0.0,1.0,0.98828125,0.644578125,0.6785625,0.6785625,8.75,8.75,15.25,2.25,relative,1D,positive,1D-C
8,247,3.0,1.0,0.69921875,1.17976550683,1.07503855276,1.07503855276,0.0,0.0,0.0,0.0,absolute,2D,negative,2D-N
9,248,1.0,0.0,0.9921875,0.868425,0.6999,0.6999,3.25,3.25,6.5,0.0,absolute,1D,positive,1D-F
10,249,0.0,1.0,0.875,0.9059609375,0.761,0.761,2.875,2.875,5.75,0.0,relative,1D,positive,1D-C
11,250,1.0,1.0,0.984375,0.81383125,0.70035,0.70035,4.0,4.0,7.5,0.5,absolute,1D,positive,1D-F
12,251,2.0,0.0,0.83984375,1.05437981309,0.711882603197,0.711882603197,12.25,12.25,15.75,8.75,relative,2D,comp,2D-P
13,252,0.0,0.0,0.8828125,0.877328125,0.7063125,0.7063125,4.5,4.5,5.0,4.0,relative,1D,negative,1D-C
14,253,3.0,0.0,0.73828125,1.01923577106,0.813865241641,0.813865241641,2.375,2.375,2.5,2.25,absolute,2D,comp,2D-P
15,254,1.0,0.0,1.0,0.85138125,0.7905,0.7905,4.75,4.75,7.25,2.25,absolute,1D,negative,1D-F
16,255,3.0,0.0,0.7421875,1.12215524453,1.01687331753,1.01687331753,1.5,1.5,3.0,0.0,absolute,2D,comp,2D-P
