,sid,cond,counter,2drule,2drule_aic,dimtype,ruletype,rulerelation
0,234,0.0,0.0,0.125,0.25,relative,1D,1D-F
1,236,0.0,3.0,0.625,0.625,relative,1D,1D-C
2,238,1.0,2.0,0.125,0.125,absolute,1D,1D-F
3,242,0.0,2.0,0.25,0.25,relative,1D,1D-C
4,243,1.0,3.0,0.0,0.125,absolute,1D,1D-C
5,244,1.0,0.0,0.0,0.125,absolute,1D,1D-C
6,245,3.0,1.0,0.875,0.875,absolute,2D,2D-N
7,246,0.0,1.0,0.0,0.0,relative,1D,1D-C
8,247,3.0,3.0,0.625,0.625,absolute,2D,2D-N
9,248,1.0,2.0,0.0,0.0,absolute,1D,1D-F
10,249,0.0,1.0,0.5,0.5,relative,1D,1D-C
11,250,1.0,1.0,0.0,0.0,absolute,1D,1D-F
12,251,2.0,0.0,0.625,0.625,relative,2D,2D-P
13,252,0.0,0.0,0.25,0.125,relative,1D,1D-C
14,253,3.0,2.0,0.375,0.25,absolute,2D,2D-P
15,254,1.0,0.0,0.0,0.0,absolute,1D,1D-F
16,255,3.0,0.0,0.625,0.375,absolute,2D,2D-P
17,256,2.0,2.0,1.0,1.0,relative,2D,2D-P
18,257,3.0,1.0,0.125,0.25,absolute,2D,2D-N
19,258,2.0,1.0,1.0,1.0,relative,2D,2D-N
20,259,3.0,3.0,0.5,0.25,absolute,2D,2D-N
21,260,0.0,2.0,0.625,0.625,relative,1D,1D-C
22,261,2.0,3.0,0.875,0.75,relative,2D,2D-N
23,262,1.0,3.0,0.5,0.5,absolute,1D,1D-C
24,263,0.0,3.0,1.0,0.875,relative,1D,1D-C
25,264,3.0,1.0,1.0,1.0,absolute,2D,2D-N
26,266,0.0,0.0,0.0,0.0,relative,1D,1D-F
27,267,1.0,0.0,0.0,0.0,absolute,1D,1D-F
28,268,2.0,2.0,1.0,0.25,relative,2D,2D-P
29,269,3.0,3.0,0.25,0.0,absolute,2D,2D-N
30,271,2.0,3.0,0.75,0.0,relative,2D,2D-N
31,272,3.0,0.0,0.75,0.75,absolute,2D,2D-P
32,273,0.0,2.0,0.125,0.125,relative,1D,1D-F
33,274,1.0,3.0,0.0,0.0,absolute,1D,1D-C
34,275,1.0,1.0,0.0,0.0,absolute,1D,1D-C
35,276,1.0,2.0,0.0,0.0,absolute,1D,1D-F
36,277,0.0,3.0,0.5,0.25,relative,1D,1D-C
37,278,3.0,2.0,0.5,0.75,absolute,2D,2D-P
38,280,0.0,1.0,0.25,0.25,relative,1D,1D-F
39,281,2.0,1.0,1.0,0.875,relative,2D,2D-N
40,282,2.0,0.0,1.0,1.0,relative,2D,2D-P
41,283,1.0,2.0,0.125,0.0,absolute,1D,1D-C
42,284,0.0,0.0,0.0,0.125,relative,1D,1D-C
43,285,2.0,2.0,1.0,1.0,relative,2D,2D-P
44,286,3.0,0.0,0.375,0.0,absolute,2D,2D-P
45,287,1.0,3.0,0.0,0.25,absolute,1D,1D-C
46,288,0.0,1.0,0.125,0.125,relative,1D,1D-F
47,289,0.0,3.0,0.125,0.125,relative,1D,1D-F
48,290,2.0,1.0,0.875,0.875,relative,2D,2D-N
49,291,1.0,1.0,0.5,0.75,absolute,1D,1D-C
50,292,2.0,3.0,0.5,0.375,relative,2D,2D-N
51,293,3.0,1.0,0.875,0.875,absolute,2D,2D-N
52,294,3.0,1.0,1.0,1.0,absolute,2D,2D-N
53,295,1.0,0.0,0.125,0.0,absolute,1D,1D-C
54,296,2.0,0.0,1.0,1.0,relative,2D,2D-P
55,297,0.0,2.0,0.875,0.875,relative,1D,1D-F
56,298,3.0,2.0,0.5,0.25,absolute,2D,2D-P
57,299,3.0,3.0,0.875,0.625,absolute,2D,2D-N
58,300,0.0,3.0,0.875,0.625,relative,1D,1D-C
59,301,1.0,3.0,0.125,0.125,absolute,1D,1D-C
60,302,2.0,1.0,1.0,1.0,relative,2D,2D-N
61,303,1.0,0.0,0.25,0.375,absolute,1D,1D-C
62,305,1.0,1.0,0.0,0.0,absolute,1D,1D-C
63,306,2.0,2.0,1.0,1.0,relative,2D,2D-P
64,307,0.0,2.0,0.625,0.625,relative,1D,1D-C
65,308,3.0,3.0,0.375,0.375,absolute,2D,2D-N
66,309,0.0,0.0,0.625,0.625,relative,1D,1D-C
67,310,2.0,3.0,0.875,1.0,relative,2D,2D-N
68,311,2.0,3.0,1.0,1.0,relative,2D,2D-N
69,312,0.0,1.0,0.125,0.25,relative,1D,1D-C
70,313,1.0,2.0,0.0,0.0,absolute,1D,1D-F
71,314,2.0,0.0,0.875,1.0,relative,2D,2D-P
72,315,3.0,0.0,1.0,1.0,absolute,2D,2D-P
73,316,3.0,2.0,0.375,0.25,absolute,2D,2D-P
74,317,1.0,1.0,0.0,0.0,absolute,1D,1D-F
75,318,3.0,1.0,1.0,1.0,absolute,2D,2D-N
76,319,3.0,2.0,1.0,1.0,absolute,2D,2D-P
77,320,3.0,3.0,1.0,0.875,absolute,2D,2D-N
78,321,2.0,1.0,1.0,1.0,relative,2D,2D-N
79,322,0.0,1.0,0.125,0.0,relative,1D,1D-C
80,323,0.0,2.0,0.75,0.625,relative,1D,1D-F
81,325,1.0,2.0,0.25,0.375,absolute,1D,1D-F
82,328,2.0,0.0,1.0,0.875,relative,2D,2D-P
83,329,0.0,3.0,0.0,0.0,relative,1D,1D-C
84,330,3.0,0.0,0.875,0.875,absolute,2D,2D-P
85,331,0.0,3.0,0.375,0.5,relative,1D,1D-C
86,332,3.0,0.0,0.875,0.75,absolute,2D,2D-P
87,333,1.0,0.0,0.0,0.5,absolute,1D,1D-C
88,334,0.0,0.0,1.0,1.0,relative,1D,1D-F
89,335,2.0,2.0,1.0,1.0,relative,2D,2D-P
90,336,1.0,3.0,0.875,0.875,absolute,1D,1D-C
91,337,2.0,3.0,0.875,0.0,relative,2D,2D-N
92,338,3.0,2.0,0.875,0.75,absolute,2D,2D-P
93,339,3.0,3.0,0.75,0.5,absolute,2D,2D-N
94,342,1.0,0.0,0.5,0.0,absolute,1D,1D-F
95,343,3.0,1.0,1.0,1.0,absolute,2D,2D-N
96,344,1.0,1.0,0.0,0.0,absolute,1D,1D-F
97,345,3.0,0.0,0.875,0.875,absolute,2D,2D-P
98,346,0.0,2.0,0.0,0.0,relative,1D,1D-F
99,347,2.0,0.0,1.0,1.0,relative,2D,2D-P
100,348,3.0,2.0,1.0,0.625,absolute,2D,2D-P
101,349,1.0,2.0,0.0,0.0,absolute,1D,1D-F
102,350,2.0,2.0,1.0,1.0,relative,2D,2D-P
103,351,1.0,3.0,0.0,0.0,absolute,1D,1D-F
104,352,0.0,3.0,0.75,0.875,relative,1D,1D-C
105,353,3.0,3.0,0.75,0.875,absolute,2D,2D-N
106,354,2.0,3.0,0.75,0.375,relative,2D,2D-N
107,355,0.0,0.0,0.25,0.375,relative,1D,1D-F
108,356,0.0,1.0,0.25,0.375,relative,1D,1D-F
109,357,2.0,1.0,1.0,1.0,relative,2D,2D-N
110,362,1.0,2.0,0.0,0.0,absolute,1D,1D-F
111,363,0.0,0.0,0.0,0.0,relative,1D,1D-F
112,364,3.0,2.0,1.0,0.875,absolute,2D,2D-P
113,365,1.0,2.0,0.25,0.25,absolute,1D,1D-C
114,366,2.0,0.0,1.0,1.0,relative,2D,2D-P
115,367,1.0,3.0,0.0,0.125,absolute,1D,1D-C
116,373,2.0,1.0,1.0,1.0,relative,2D,2D-N
117,374,2.0,3.0,0.625,0.5,relative,2D,2D-N
118,376,2.0,2.0,0.875,0.75,relative,2D,2D-P
119,377,2.0,1.0,0.625,0.625,relative,2D,2D-N
