,x1,x2,resp,correct
0,0.7,0.92,0.0,0
1,0.652,0.428,0.0,1
2,0.901,0.39,0.0,0
3,0.313,0.818,0.0,0
4,0.787,0.289,1.0,0
5,0.44,0.185,0.0,1
6,0.597,0.835,0.0,0
7,0.547,0.602,0.0,0
8,0.796,0.599,0.0,0
9,0.454,0.952,0.0,0
10,0.918,0.219,0.0,0
11,0.301,0.281,0.0,1
12,0.66,0.182,0.0,1
13,0.141,0.953,0.0,1
14,0.965,0.973,1.0,1
15,0.194,0.208,1.0,0
16,0.961,0.712,1.0,1
17,0.067,0.006,0.0,1
18,0.061,0.351,0.0,1
19,0.809,0.867,1.0,1
20,0.352,0.591,0.0,1
21,0.782,0.011,0.0,1
22,0.18,0.688,0.0,1
23,0.351,0.013,0.0,1
24,0.47,0.658,0.0,0
25,0.6,0.015,0.0,1
26,0.409,0.423,1.0,0
27,0.066,0.514,0.0,1
28,0.007,0.836,0.0,1
29,0.695,0.662,1.0,1
30,0.603,0.323,1.0,0
31,0.137,0.434,0.0,1
